Region,"Link Type",Count
,UG,166
"Gateway Operations",OH,1
"Gateway Operations",UG,35
"Regional Implementation & Operations 1",OH,4639
"Regional Implementation & Operations 1",UG,5510
"Regional Implementation & Operations 1, Regional Implementation & Operations 2",OH,3
"Regional Implementation & Operations 1, Regional Implementation & Operations 4",OH,1
"Regional Implementation & Operations 2",OH,4003
"Regional Implementation & Operations 2",UG,175
"Regional Implementation & Operations 2, Regional Implementation & Operations 3",OH,2
"Regional Implementation & Operations 3",OH,2534
"Regional Implementation & Operations 3",UG,149
"Regional Implementation & Operations 4",OH,1931
"Regional Implementation & Operations 4",UG,72
